radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 0.5, 12, regularization, -0.00574674732304, 0.00104947078324, 5.47585260575, 0.00246813536542, 0.00220446820265, 1.11960579084
0, 0.5, 13, regularization, -0.00602885049441, 0.00105772066067, 5.69985131102, 0.00287254531965, 0.00197788827943, 1.45232941088
0, 0.5, 14, regularization, -0.00601544338464, 0.000872084461307, 6.89777613469, 0.00268135990848, 0.0020264900188, 1.32315475705
0, 0.5, 15, regularization, -0.00559854739381, 0.00105732576417, 5.2950070674, 0.00257560656991, 0.00207084840302, 1.24374462474
0, 11.0, 16, no_regularization, -0.0243654601982, 0.504332128671, 0.0483123299371, -0.0341964372931, 0.719085395038, 0.0475554607688
0, 11.0, 17, no_regularization, 0.0130833927613, 0.500087641308, 0.0261621997438, 0.0817323535528, 0.779271536353, 0.104883021822
0, 11.0, 18, no_regularization, 0.0061994482094, 0.348772070664, 0.0177750706861, -0.101996064064, 0.744286262099, 0.137038756803
0, 11.0, 19, no_regularization, -0.0106693198953, 0.357445830222, 0.0298487742566, 0.0278053898536, 0.574551609653, 0.0483949385685
0, 11.0, 20, no_regularization, -0.0314942585941, 0.470909675367, 0.0668796167111, -0.0268879709186, 0.671036984615, 0.0400692831171
0, 11.0, 16, regularization, -0.0218086995087, 0.40585222693, 0.0537355669418, -0.0247554999367, 0.692209280518, 0.0357630280804
0, 11.0, 17, regularization, 0.0111945207267, 0.429679307801, 0.0260531994989, 0.0788973312739, 0.747151796792, 0.105597459061
0, 11.0, 18, regularization, 0.00896105331036, 0.231001599931, 0.0387921698942, -0.0828243572388, 0.714743199796, 0.115879881421
0, 11.0, 19, regularization, -0.0132512613581, 0.257133431893, 0.0515345719945, 0.0254822290686, 0.55105256373, 0.0462428282632
0, 11.0, 20, regularization, -0.0296974613409, 0.355567335865, 0.0835213427821, -0.021242458832, 0.662958974492, 0.0320418904477
0, 0.5, 21, no_regularization, -0.00616923608388, 0.000855083453177, 7.21477659398, 0.00334927274321, 0.00757685106528, 0.442040197749
0, 0.5, 22, no_regularization, -0.00580148773638, 0.000910924502431, 6.36879096006, 0.00348417331545, 0.00660883155868, 0.527199594136
0, 0.5, 23, no_regularization, -0.00529789121345, 0.000939747977193, 5.63756596665, 0.00250765151916, 0.00626347760589, 0.400360898042
0, 0.5, 24, no_regularization, -0.00611766528127, 0.000931834826225, 6.56518205706, 0.00364724212805, 0.00664208021789, 0.549111424193
0, 0.5, 25, no_regularization, -0.00571252964042, 0.000851035123428, 6.7124487382, 0.00306571658288, 0.00719113008973, 0.426319166059
0, 0.5, 21, regularization, -0.00617826135602, 0.000841223770915, 7.34437324483, 0.00310762167316, 0.00201777595899, 1.5401222615
0, 0.5, 22, regularization, -0.00579796570872, 0.0010668834613, 5.43448831954, 0.00297725874359, 0.00222541129845, 1.33784651209
